[2026-02-04 13:27:04 Local] Logging started.
[2026-02-04 13:27:04 Local] DNS Server auth config file was loaded: /etc/dns/auth.config
[2026-02-04 13:27:04 Local] Loading DNS Cache from disk...
[2026-02-04 13:27:04 Local] Web Service config file was loaded: /etc/dns/webservice.config
[2026-02-04 13:27:04 Local] DNS Cache was loaded from disk successfully.
[2026-02-04 13:27:04 Local] DNS Server config file was loaded: /etc/dns/dns.config
[2026-02-04 13:27:04 Local] DNS Server successfully loaded zone file: /etc/dns/zones/lab.local.zone
[2026-02-04 13:27:04 Local] DNS Server allowed zone file was loaded: /etc/dns/allowed.config
[2026-02-04 13:27:04 Local] DNS Server blocked zone file was loaded: /etc/dns/blocked.config
[2026-02-04 13:27:04 Local] DNS Server block list config file was loaded: /etc/dns/blocklist.config
[2026-02-04 13:27:05 Local] [[::]:5380] [HTTP] Web Service was bound successfully.
[2026-02-04 13:27:05 Local] [0.0.0.0:53] [UDP] DNS Server was bound successfully.
[2026-02-04 13:27:05 Local] [0.0.0.0:53] [TCP] DNS Server was bound successfully.
[2026-02-04 13:27:05 Local] [[::]:53] [UDP] DNS Server was bound successfully.
[2026-02-04 13:27:05 Local] [[::]:53] [TCP] DNS Server was bound successfully.
[2026-02-04 13:27:05 Local] DHCP Server successfully loaded scope: Default
[2026-02-04 13:27:05 Local] DNS Server (v14.3.0.0) was started successfully.
[2026-02-04 13:28:20 Local] [172.19.0.1:56432] [UDP] QNAME: mobile.events.data.microsoft.com; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:20 Local] [172.19.0.1:49772] [UDP] QNAME: mobile.events.data.microsoft.com; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:22 Local] [172.19.0.1:33272] [UDP] QNAME: mobile.events.data.microsoft.com; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:22 Local] [172.19.0.1:54078] [UDP] QNAME: mobile.events.data.microsoft.com; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:24 Local] [172.19.0.1:54473] [UDP] QNAME: mobile.events.data.microsoft.com; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:24 Local] [172.19.0.1:51582] [UDP] QNAME: mobile.events.data.microsoft.com; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:38 Local] [172.19.0.1:41974] [TCP] QNAME: dns.google; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:38 Local] [172.19.0.1:41982] [TCP] QNAME: dns.google; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:40 Local] [172.19.0.1:41990] [TCP] QNAME: dns.google; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:40 Local] [172.19.0.1:41994] [TCP] QNAME: dns.google; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:41 Local] [172.19.0.1:52016] [UDP] QNAME: egde.nelreports.net; QTYPE: HTTPS; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:28:41 Local] [172.19.0.1:50138] [UDP] QNAME: egde.nelreports.net; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:29:22 Local] [172.19.0.1:35414] [UDP] QNAME: 1.0.0.127.in-addr.arpa; QTYPE: PTR; QCLASS: IN; RCODE: NoError; ANSWER: [localhost.]
[2026-02-04 13:29:22 Local] [172.19.0.1:56216] [UDP] QNAME: lab.local.student.cadt.edu.kh; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:29:22 Local] [172.19.0.1:44090] [UDP] QNAME: lab.local.student.cadt.edu.kh; QTYPE: AAAA; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:29:22 Local] [172.19.0.1:37214] [UDP] QNAME: lab.local; QTYPE: A; QCLASS: IN; RCODE: NoError; ANSWER: [127.0.0.1]
[2026-02-04 13:29:22 Local] [172.19.0.1:33281] [UDP] QNAME: lab.local; QTYPE: AAAA; QCLASS: IN; RCODE: NoError; ANSWER: []
[2026-02-04 13:29:30 Local] [172.19.0.1:56442] [UDP] QNAME: 1.0.0.127.in-addr.arpa; QTYPE: PTR; QCLASS: IN; RCODE: NoError; ANSWER: [localhost.]
[2026-02-04 13:29:30 Local] [172.19.0.1:36665] [UDP] QNAME: 1234lab.local.student.cadt.edu.kh; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:29:30 Local] [172.19.0.1:48403] [UDP] QNAME: 1234lab.local.student.cadt.edu.kh; QTYPE: AAAA; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:29:30 Local] [172.19.0.1:53033] [UDP] QNAME: 1234lab.local; QTYPE: A; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
[2026-02-04 13:29:31 Local] [172.19.0.1:36515] [UDP] QNAME: 1234lab.local; QTYPE: AAAA; QCLASS: IN; RCODE: ServerFailure; ANSWER: []
